,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MACD,signal,Buy_Signal_Price,Sell_Signal_Price
114,2021-08-05,2402.95,2412.6,2376.0,2388.1,2399.9042552141423,101311,2657,243136700.0,39842.0,39.33,36.6,-14.85,-9.436088664916497,-14.858341183249049,2388.1,
115,2021-08-04,2439.0,2456.4,2392.95,2397.6,2420.4520556048506,16905,1589,40917742.0,2925.0,17.3,63.45,-41.4,-3.081462796042615,-12.502965505807763,,
116,2021-08-03,2430.0,2444.0,2392.6,2432.75,2413.096328562539,32140,2367,77556916.0,6040.0,18.79,51.4,2.75,4.736337674396964,-9.055104869766819,,
117,2021-08-02,2394.0,2429.6,2382.25,2424.45,2408.568436911488,13275,1424,31973746.0,2144.0,16.15,47.35,30.45,10.145311402810876,-5.215021615251279,,
118,2021-07-30,2374.9,2414.85,2360.9,2393.15,2390.2171771257226,14007,1447,33479772.0,3099.0,22.12,53.95,18.25,11.770629151250887,-1.8178914619508464,,
119,2021-07-29,2410.0,2412.7,2350.3,2362.2,2373.863523737157,30269,2450,71854475.0,7536.0,24.9,62.4,-47.8,10.440942154715685,0.6338752613824601,,
120,2021-07-28,2373.0,2397.85,2330.2,2394.75,2366.6614092767018,22508,1576,53268815.0,2736.0,12.16,67.65,21.75,11.876760694129189,2.882452347931806,,
121,2021-07-27,2384.0,2395.0,2357.65,2370.9,2378.7038821954484,33615,3113,79960131.0,8640.0,25.7,37.35,-13.1,10.963777946442406,4.498717467633925,,
122,2021-07-26,2339.0,2373.0,2309.2,2369.6,2348.846604215457,24766,2303,58171535.0,4307.0,17.39,63.8,30.6,10.019831030774185,5.602940180261978,,
123,2021-07-23,2294.0,2375.0,2294.0,2337.4,2346.470750822196,85746,5944,201200481.0,5746.0,6.7,81.0,43.4,6.597424404188132,5.8018370250472096,,
124,2021-07-22,2334.0,2336.2,2272.8,2287.8,2294.266504486226,101533,5937,232943761.0,8175.0,8.05,63.4,-46.2,-0.11582778933870941,4.618304062170026,,2287.8
125,2021-07-20,2225.0,2342.95,2191.9,2308.55,2286.2796725984063,341721,22148,781269776.0,16655.0,4.87,151.05,83.55,-3.718907681255132,2.9508617134849944,,
126,2021-07-19,2120.0,2169.0,2106.8,2150.65,2132.5648874572653,50603,1869,107914181.0,3566.0,7.05,62.2,30.65,-19.09546420419565,-1.4584034700511346,,
127,2021-07-16,2116.0,2135.0,2113.0,2129.15,2123.6803366413696,20556,1412,43654373.0,6805.0,33.1,22.0,13.15,-32.64011146058283,-7.6947450681574745,,
128,2021-07-15,2080.1,2126.0,2069.55,2111.9,2096.8829681535326,19123,1487,40098693.0,5335.0,27.9,56.45,31.8,-44.256115875580235,-15.007019229642026,,
129,2021-07-14,2091.8,2097.5,2071.7,2080.1,2083.1775147928997,13182,1097,27460446.0,3206.0,24.32,25.8,-11.7,-55.38938297136883,-23.08349197798739,,
130,2021-07-13,2075.0,2091.95,2070.9,2084.75,2082.1820964039784,11763,1066,24492708.0,2261.0,19.22,21.05,9.75,-63.1098699213876,-31.088767566667432,,
131,2021-07-12,2038.0,2087.0,2038.0,2071.25,2075.0724206162254,53065,1817,110113718.0,6334.0,11.94,49.0,33.25,-69.51640676346597,-38.77429540602714,,
132,2021-07-09,2029.55,2049.95,2018.35,2036.5,2028.4161741386768,6937,789,14071123.0,806.0,11.62,31.6,6.95,-76.51564324357332,-46.32256497353638,,
